"","region","saleYear","volume","volCS","volShare","volGrowth","medPrice","priceGrowth"
"219","des moines",2004,618,43322,0.0142652693781451,0.123804978762311,219987.5,0.111609398686206
"220","des moines",2005,630,45181,0.0139439144773245,-0.0225270825458681,258000,0.172793908744815
"221","des moines",2006,564,39609,0.0142391880633189,0.0211758029981162,293000,0.135658914728681
"222","des moines",2007,402,31419,0.012794805690824,-0.101437130127928,310000,0.0580204778157005
"223","des moines",2008,311,20255,0.015354233522587,0.200036475239207,279000,-0.1
"224","des moines",2009,270,19232,0.0140391014975042,-0.085652730443901,250000,-0.103942652329749
"225","des moines",2010,238,20732,0.0114798379316998,-0.18229539591685,238750,-0.0449999999999988
"226","des moines",2011,253,21948,0.0115272462183342,0.00412969999372081,198000,-0.170680628272251
"227","des moines",2012,335,28077,0.0119314741603448,0.0350671734041379,182500,-0.0782828282828284
"228","des moines",2013,467,33382,0.0139895752201785,0.172493443155083,220000,0.205479452054793
"229","des moines",2014,498,31845,0.0156382477626001,0.11785007882466,253000,0.150000000000001
"230","des moines",2015,502,34417,0.0145858151494901,-0.0672986276395355,282750,0.117588932806323
"231","des moines",2016,487,33824,0.0143980605487228,-0.012872410547026,320000,0.131741821396994
"232","duvall",1996,193,27516,0.0070141008867568,-0.161401291928985,174950,0.0934375000000016
"233","duvall",1997,322,31821,0.0101191037365262,0.442680095410647,216000,0.234638468133751
"234","duvall",1998,377,34021,0.0110813909056171,0.0950960869802551,213000,-0.0138888888888888
"235","duvall",1999,355,33331,0.0106507455521887,-0.0388620306869757,255000,0.197183098591548
"236","duvall",2000,328,31196,0.0105141684831389,-0.0128232402492913,247250,-0.0303921568627437
"237","duvall",2001,351,30855,0.0113757899854157,0.0819486109299592,249900,0.0107178968655193
"238","duvall",2002,332,33613,0.00987713087198405,-0.131741102407214,281000,0.124449779911965
"239","duvall",2003,368,39941,0.00921359004531684,-0.0671795114661595,3e+05,0.0676156583629897
"240","duvall",2004,354,43322,0.00817136789621901,-0.113117920807382,305000,0.0166666666666671
"241","duvall",2005,412,45181,0.00911887740421859,0.115954821767112,367457.5,0.20477868852459
"242","duvall",2006,345,39609,0.00871014163447701,-0.044823035953141,399500,0.08720056060905
"243","duvall",2007,255,31419,0.008116108087463,-0.0682002167063127,475000,0.188986232790989
"244","duvall",2008,153,20255,0.00755369044680326,-0.069296470007406,421000,-0.113684210526316
"245","duvall",2009,203,19232,0.0105553244592346,0.397373182495406,420000,-0.00237529691211291
"246","duvall",2010,128,20732,0.00617403048427552,-0.415079042987258,364567.5,-0.131982142857143
"247","duvall",2011,271,21948,0.0123473665026426,0.999887518224896,333594,-0.0849595753872733
"248","duvall",2012,298,28077,0.0106136695515903,-0.14041026081807,313054,-0.0615718508126648
"249","duvall",2013,298,33382,0.00892696662872207,-0.158917979749565,385000,0.229819775501989
"250","duvall",2014,227,31845,0.00712827759459884,-0.201489387037254,384950,-0.000129870129868759
"251","duvall",2015,295,34417,0.00857134555597524,0.202442727885603,435000,0.130016885309781
"252","duvall",2016,295,33824,0.00872161778618732,0.0175319299905388,460000,0.0574712643678144
"253","enumclaw",1996,335,27516,0.012174734699811,-0.118503836051571,130000,-0.0276738967838446
"254","enumclaw",1997,388,31821,0.012193205744634,0.00151716199806096,136700,0.0515384615384611
"255","enumclaw",1998,454,34021,0.0133446988624673,0.0944372744911646,149700,0.0950987564008787
"256","enumclaw",1999,437,33331,0.0131109177642435,-0.0175186492129336,160933,0.0750367401469603
"257","enumclaw",2000,401,31196,0.0128542120784716,-0.0195795359552937,167500,0.0408058011719152
"258","enumclaw",2001,435,30855,0.0140982012639767,0.096776774640938,174950,0.0444776119402999
"259","enumclaw",2002,416,33613,0.0123761639841728,-0.122145885674365,181000,0.0345813089454112
"260","enumclaw",2003,453,39941,0.0113417290503493,-0.0835828399774285,187000,0.0331491712707199
"261","enumclaw",2004,498,43322,0.0114953141590878,0.0135415956470739,210000,0.122994652406417
"262","enumclaw",2005,494,45181,0.0109337996060291,-0.0488472559590527,245000,0.166666666666665
"263","enumclaw",2006,490,39609,0.012370925799692,0.131438863473449,289950,0.183469387755103
"264","enumclaw",2007,390,31419,0.0124128711925905,0.0033906429945223,3e+05,0.0346611484738746
"265","enumclaw",2008,220,20255,0.0108615156751419,-0.124979587186449,280002.5,-0.0666583333333335
"266","enumclaw",2009,204,19232,0.0106073211314476,-0.0234032294660417,236000,-0.15715038258587
"267","enumclaw",2010,217,20732,0.0104669110553733,-0.0132370910934314,240300,0.0182203389830518
"268","enumclaw",2011,218,21948,0.00993256788773465,-0.0510507030022367,225000,-0.0636704119850184
"269","enumclaw",2012,266,28077,0.00947394664672152,-0.046173481641083,225000,0
"270","enumclaw",2013,312,33382,0.00934635432268888,-0.0134677055709195,230978.5,0.0265711111111104
"271","enumclaw",2014,405,31845,0.0127178520960904,0.360728649588753,250000,0.0823518206239966
"272","enumclaw",2015,481,34417,0.0139756515675393,0.0989003065883678,291637,0.166548000000001
"273","enumclaw",2016,460,33824,0.0135998107852412,-0.0268925409653887,320000,0.0972544635968677
"274","federal way",1996,1263,27516,0.0459005669428696,0.0563927124442862,139500,0.0333333333333319
"275","federal way",1997,1506,31821,0.047327236730461,0.0310817465363145,146000,0.0465949820788534
"276","federal way",1998,1474,34021,0.0433261808882749,-0.084540237685395,152050,0.0414383561643847
"277","federal way",1999,1431,33331,0.0429330053103717,-0.00907478041780441,162000,0.0654390003288376
"278","federal way",2000,1372,31196,0.0439799974355687,0.024386648864388,173000,0.0679012345679011
